Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,1507.35,1511.30,1498.85,1500.10,1501.499238332640908461,7221,762,10842326.00,3785,52.42,12.45,-7.25
31-December-2025,1499.70,1513.85,1490.65,1510.90,1500.970582329317269076,9960,746,14949667.00,5550,55.72,23.20,11.20
30-December-2025,1495.00,1496.25,1476.60,1491.40,1486.392462612163509471,75225,3403,111813873.00,59704,79.37,19.65,-3.60
29-December-2025,1514.60,1514.60,1492.60,1494.40,1501.268744258356299908,14151,1357,21244454.00,7216,50.99,22.00,-20.20
26-December-2025,1496.35,1510.00,1494.60,1505.05,1506.309648354398698535,39955,2368,60184602.00,27928,69.90,15.40,8.70
24-December-2025,1502.00,1507.75,1490.50,1496.35,1496.003076849382873748,1252580,1172,1873863534.00,1231711,98.33,17.25,-5.65
23-December-2025,1516.40,1521.00,1498.70,1500.40,1512.277065841802916482,15841,1602,23955981.00,8332,52.60,22.30,-16.00
22-December-2025,1516.95,1523.70,1508.25,1512.50,1518.706591024987251402,78440,1843,119127345.00,69436,88.52,15.45,-4.45
19-December-2025,1496.00,1520.00,1496.00,1517.00,1511.403901067521855642,22763,1845,34404087.00,16952,74.47,24.00,21.00
18-December-2025,1492.10,1511.00,1492.10,1499.10,1498.153147990321411428,204162,1786,305865943.00,191570,93.83,18.90,7.00
17-December-2025,1493.10,1503.15,1491.00,1496.95,1494.757076468103084072,14202,1879,21228540.00,8699,61.25,12.15,3.85
16-December-2025,1501.90,1507.70,1496.05,1500.00,1501.690470926376298916,13569,906,20376438.00,9807,72.28,11.65,-1.90
15-December-2025,1514.35,1515.00,1498.35,1507.25,1508.624407636412871778,22157,1336,33426591.00,13860,62.55,16.65,-7.10
12-December-2025,1520.00,1523.05,1511.05,1517.20,1518.503097789685197588,11944,1430,18137001.00,6560,54.92,12.00,-2.80
11-December-2025,1500.65,1513.40,1492.80,1512.10,1506.074140188028085207,16806,957,25311082.00,10941,65.10,20.60,11.45
10-December-2025,1491.05,1505.00,1485.00,1489.15,1493.429252782193958664,16354,1828,24423542.00,9919,60.65,20.00,-1.90
9-December-2025,1497.50,1502.00,1487.00,1490.70,1495.504047375596455351,23472,2549,35102471.00,14169,60.37,15.00,-6.80
8-December-2025,1515.00,1517.50,1495.00,1497.45,1506.717651271034729681,13965,1486,21041312.00,6817,48.81,22.50,-17.55
5-December-2025,1523.35,1527.00,1513.75,1520.55,1521.231178745417106122,19911,1940,30289234.00,12641,63.49,13.25,-2.80
4-December-2025,1502.40,1526.00,1502.40,1521.20,1517.813754971384227374,82472,5633,125177136.00,61353,74.39,23.60,18.80
3-December-2025,1516.65,1522.15,1495.95,1508.10,1510.066078767806552013,25061,2337,37843766.00,16723,66.73,26.20,-8.55
2-December-2025,1516.05,1531.00,1513.45,1516.65,1520.815550094155947783,31331,1815,47648672.00,23966,76.49,17.55,0.60
1-December-2025,1532.00,1536.20,1518.00,1523.80,1523.781207283066324019,36578,1295,55736869.00,31246,85.42,18.20,-8.20
28-November-2025,1530.15,1535.80,1520.05,1530.95,1529.720218688869940311,19937,1141,30498032.00,10045,50.38,15.75,0.80
27-November-2025,1521.45,1530.40,1520.70,1524.55,1525.291769887145609688,7266,812,11082770.00,2833,38.99,9.70,3.10
26-November-2025,1505.45,1525.80,1505.45,1523.45,1513.091413108045673552,15151,881,22924848.00,11473,75.72,20.35,18.00
25-November-2025,1498.25,1522.15,1498.25,1507.05,1512.947740512414456195,17681,1130,26750429.00,11918,67.41,23.90,8.80
24-November-2025,1512.75,1524.30,1499.75,1503.90,1512.088361717177213123,36758,2904,55581344.00,25463,69.27,24.55,-8.85
21-November-2025,1527.30,1527.30,1508.50,1511.35,1520.410001282215668675,38995,1605,59288388.00,34015,87.23,18.80,-15.95
20-November-2025,1525.15,1534.00,1519.10,1528.95,1526.769890418099008426,161158,2923,246051182.00,141927,88.07,14.90,3.80
19-November-2025,1512.00,1529.25,1505.10,1526.35,1521.083861301369863013,23360,1960,35532519.00,13640,58.39,24.15,14.35
18-November-2025,1535.95,1535.95,1512.00,1514.65,1521.377400907118911457,25355,2372,38574524.00,17149,67.64,23.95,-21.30
17-November-2025,1539.25,1539.25,1526.95,1536.25,1534.804360602900748886,52745,2232,80953256.00,46307,87.79,12.30,-3.00
14-November-2025,1525.20,1534.60,1523.00,1531.65,1529.663287662273960956,30581,2420,46778633.00,15732,51.44,11.60,6.45
13-November-2025,1519.90,1534.75,1515.50,1525.80,1524.909274389650812177,41124,3143,62710369.00,26962,65.56,19.25,5.90
12-November-2025,1507.60,1528.00,1507.60,1519.90,1521.257266638488799297,123028,3959,187157239.00,101226,82.28,20.40,12.30
11-November-2025,1515.90,1517.45,1505.70,1514.80,1513.441158794462004184,89852,2356,135985715.00,51323,57.12,11.75,-1.10
10-November-2025,1508.10,1516.00,1504.90,1513.75,1512.584992720902114639,40527,1432,61300532.00,29256,72.19,11.10,5.65
7-November-2025,1500.00,1510.00,1492.15,1504.45,1503.647413502394280704,74135,1957,111472901.00,57203,77.16,17.85,4.45
6-November-2025,1506.50,1513.00,1497.70,1500.05,1500.362281855187284090,603842,4846,905981761.00,571667,94.67,15.30,-6.45
4-November-2025,1517.80,1524.00,1498.20,1503.55,1502.325193211501046307,204051,6173,306550958.00,175361,85.94,25.80,-14.25
3-November-2025,1501.65,1515.00,1490.30,1511.60,1504.940882776669001705,605272,4772,910898578.00,573189,94.70,24.70,9.95
31-October-2025,1511.00,1529.90,1500.05,1501.65,1510.174387611354906710,98671,7652,149010417.00,55180,55.92,29.85,-9.35
30-October-2025,1598.70,1598.70,1505.00,1540.50,1557.817859214982526682,148226,8554,230909110.00,74324,50.14,93.70,-58.20
29-October-2025,1578.00,1587.90,1572.00,1580.75,1578.884583248231427669,53857,5164,85033987.00,33069,61.40,15.90,2.75
28-October-2025,1585.00,1587.30,1562.40,1569.85,1576.813325721741967052,12262,1354,19334885.00,6484,52.88,24.90,-15.15
27-October-2025,1585.00,1592.70,1575.90,1583.95,1581.027157719923802080,20473,1830,32368369.00,9463,46.22,16.80,-1.05
24-October-2025,1639.95,1639.95,1581.45,1583.75,1596.723200561278183499,156785,8795,250342247.00,83174,53.05,58.50,-56.20
23-October-2025,1665.35,1672.20,1637.50,1645.25,1654.102985169626376424,62844,5577,103950448.00,29692,47.25,34.70,-20.10
21-October-2025,1642.70,1668.90,1642.40,1663.85,1658.369884325787986033,84202,4337,139638061.00,49139,58.36,26.50,21.15
20-October-2025,1585.00,1647.00,1578.40,1639.30,1621.473868262861664518,156706,9372,254094684.00,80704,51.50,68.60,54.30
17-October-2025,1542.65,1582.60,1542.65,1577.80,1569.507337526205450733,25758,1292,40427370.00,6117,23.75,39.95,35.15
16-October-2025,1565.45,1572.20,1555.85,1568.65,1565.026955467653438815,31348,2918,49060465.00,12312,39.28,16.35,3.20
15-October-2025,1531.70,1564.85,1531.70,1557.90,1555.579403489026449071,17770,2131,27642646.00,10678,60.09,33.15,26.20
14-October-2025,1554.20,1565.00,1536.95,1553.10,1546.721723162439823316,20149,1740,31164896.00,7559,37.52,28.05,-1.10
13-October-2025,1561.50,1567.15,1550.20,1563.90,1563.740206207193127825,95341,3954,149088555.00,79840,83.74,16.95,2.40
10-October-2025,1514.00,1568.95,1508.00,1561.55,1548.721386184059539031,61002,3021,94475102.00,22425,36.76,60.95,47.55
9-October-2025,1497.30,1520.45,1497.30,1512.55,1510.988667448221961703,76770,3930,115998600.00,48392,63.04,23.15,15.25
8-October-2025,1518.35,1518.35,1491.50,1494.70,1499.541495169137297000,218905,10382,328257131.00,194481,88.84,26.85,-23.65
7-October-2025,1513.75,1521.75,1506.80,1513.80,1516.066952649869678540,73664,4713,111679556.00,62707,85.13,14.95,0.05
6-October-2025,1500.80,1519.45,1497.70,1513.75,1508.936033454658096491,12913,1022,19484891.00,6065,46.97,21.75,12.95
3-October-2025,1515.00,1534.90,1509.65,1515.65,1519.687283375164336082,117138,4239,178013129.00,98932,84.46,25.25,0.65
1-October-2025,1503.25,1517.15,1499.00,1513.85,1506.334756431308155446,9135,1133,13760368.00,3827,41.89,18.15,10.60
30-September-2025,1485.45,1507.50,1485.45,1501.60,1497.516194798517914443,56407,2644,84470396.00,44918,79.63,22.05,16.15
29-September-2025,1500.15,1527.00,1485.75,1488.55,1510.929538297959350590,24453,2115,36946760.00,10132,41.43,41.25,-11.60
26-September-2025,1488.15,1504.45,1475.00,1498.95,1490.185976882178954435,55109,5164,82122659.00,30414,55.19,29.45,10.80
25-September-2025,1537.85,1544.00,1506.00,1509.80,1534.292439218726446583,92874,1916,142495876.00,82955,89.32,38.00,-28.05
24-September-2025,1518.05,1542.65,1518.05,1537.85,1533.074318559432394808,22269,2685,34140032.00,12885,57.86,24.60,19.80
