Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,1719.80,1727.00,1708.90,1720.40,1718.067911005584135778,45486,12915,78148037.00,12544,27.58,18.10,0.60
31-December-2025,1719.65,1724.85,1714.80,1719.75,1720.188669293537277776,32231,10462,55443401.00,17489,54.26,10.05,0.10
30-December-2025,1717.15,1725.00,1706.45,1719.60,1716.288207747977862920,56376,4527,96757464.00,30820,54.67,18.55,2.45
29-December-2025,1719.50,1727.80,1712.00,1717.50,1723.263687024625348294,53116,2104,91532874.00,39051,73.52,15.80,-2.00
26-December-2025,1727.20,1733.35,1708.00,1719.20,1715.867205723388519087,140616,6882,241278383.00,108945,77.48,25.35,-8.00
24-December-2025,1755.00,1759.20,1718.80,1737.50,1735.663235471260088262,91319,13011,158499031.00,57604,63.08,40.40,-17.50
23-December-2025,1776.25,1776.25,1751.85,1755.20,1764.097756410256410256,24336,5972,42931083.00,10349,42.53,24.40,-21.05
22-December-2025,1745.00,1773.45,1744.30,1771.25,1763.525367920171863392,49807,3428,87835908.00,33951,68.17,29.15,26.25
19-December-2025,1762.80,1762.80,1742.40,1745.10,1749.862298082278984642,276474,2026,483791429.00,262960,95.11,20.40,-17.70
18-December-2025,1788.95,1788.95,1736.20,1745.35,1745.762074403725056096,266949,19580,466029440.00,179688,67.31,52.75,-43.60
17-December-2025,1782.80,1797.50,1771.05,1795.10,1791.094950816494645539,123822,5674,221776959.00,96074,77.59,26.45,12.30
16-December-2025,1777.85,1790.70,1777.85,1782.80,1785.456134762633996937,81625,4127,145737857.00,62212,76.22,12.85,4.95
15-December-2025,1750.25,1802.00,1750.25,1797.25,1786.024436119688396369,63799,4195,113946573.00,51254,80.34,51.75,47.00
12-December-2025,1818.95,1818.95,1791.15,1794.30,1802.396329941860465116,27520,1715,49601947.00,17952,65.23,27.80,-24.65
11-December-2025,1771.75,1809.80,1771.75,1806.90,1797.356575304832949430,94642,14508,170105421.00,54315,57.39,38.05,35.15
10-December-2025,1777.00,1792.60,1768.00,1786.25,1783.733324764736124460,178948,17549,319195511.00,134496,75.16,24.60,9.25
9-December-2025,1795.30,1800.45,1772.40,1776.20,1789.690024047472132036,173407,6171,310344778.00,134930,77.81,28.05,-19.10
8-December-2025,1804.95,1804.95,1787.20,1795.30,1795.438878995219795669,53345,1637,95777687.00,45980,86.19,17.75,-9.65
5-December-2025,1815.55,1819.55,1800.45,1804.95,1807.918404924835793002,36387,4084,65784727.00,25955,71.33,19.10,-10.60
4-December-2025,1805.75,1822.35,1798.60,1818.60,1816.439472493495720372,106084,14413,192695165.00,50091,47.22,23.75,12.85
3-December-2025,1802.95,1815.95,1784.00,1805.70,1802.587616227532487127,53021,2757,95574998.00,40318,76.04,31.95,2.75
2-December-2025,1809.75,1812.60,1788.05,1798.05,1797.215931271071153959,67628,4220,121542119.00,46862,69.29,24.55,-11.70
1-December-2025,1843.95,1843.95,1801.00,1807.85,1809.573800672685431049,56490,2586,102222824.00,43847,77.62,42.95,-36.10
28-November-2025,1810.65,1832.90,1809.00,1831.25,1821.199174102204852149,40683,4150,74091846.00,24711,60.74,23.90,20.60
27-November-2025,1804.80,1815.00,1803.25,1809.50,1809.775428380506897045,83804,12432,151666420.00,19403,23.15,11.75,4.70
26-November-2025,1778.75,1806.85,1774.00,1804.85,1794.919504862953138815,28275,8828,50751349.00,12725,45.00,32.85,26.10
25-November-2025,1781.40,1791.90,1765.25,1771.75,1778.415817057691520288,48846,4396,86868499.00,33349,68.27,26.65,-9.65
24-November-2025,1783.15,1787.95,1771.90,1781.20,1779.364443090282406261,52513,2618,93439765.00,34778,66.23,16.05,-1.95
21-November-2025,1783.25,1787.75,1773.40,1779.80,1779.912835726850271731,38089,2792,67795100.00,27038,70.99,14.35,-3.45
20-November-2025,1789.95,1791.95,1773.35,1777.85,1778.728521516187412024,79568,10266,141529871.00,19729,24.80,18.60,-12.10
19-November-2025,1760.00,1789.70,1751.25,1784.15,1777.372216285531096388,23395,1901,41581623.00,11320,48.39,38.45,24.15
18-November-2025,1764.70,1764.70,1750.00,1759.70,1759.159742396135942039,57142,2183,100521906.00,49898,87.32,14.70,-5.00
17-November-2025,1769.15,1769.15,1747.60,1763.70,1757.243747767059664165,22392,2738,39348202.00,11957,53.40,21.55,-5.45
14-November-2025,1718.25,1760.00,1718.25,1756.40,1750.840479161467431994,20035,1638,35078089.00,11065,55.23,41.75,38.15
13-November-2025,1732.25,1747.85,1726.00,1735.80,1737.162518119047990149,64159,4959,111454610.00,49731,77.51,21.85,3.55
12-November-2025,1727.60,1743.50,1710.55,1731.85,1730.072484530740390770,32807,2328,56758488.00,19470,59.35,32.95,4.25
11-November-2025,1697.50,1718.00,1695.60,1716.05,1702.405486906882477523,142594,4769,242752808.00,125339,87.90,22.40,18.55
10-November-2025,1695.30,1702.00,1686.00,1697.50,1698.025430557642142066,73219,3434,124327724.00,51778,70.72,16.00,2.20
7-November-2025,1695.00,1708.95,1683.40,1692.75,1695.552159180387334223,226058,7566,383293130.00,195468,86.47,25.55,-2.25
6-November-2025,1698.00,1720.45,1667.00,1685.75,1688.048312502236874023,251467,12133,424488445.00,74062,29.45,53.45,-12.25
4-November-2025,1711.30,1711.30,1682.05,1692.75,1692.632822540781018289,20230,2339,34241962.00,10132,50.08,29.25,-18.55
3-November-2025,1689.85,1711.40,1680.45,1707.25,1701.032437212592854616,28270,1994,48088187.00,17226,60.93,30.95,17.40
31-October-2025,1700.00,1705.00,1687.15,1689.85,1697.063707877010932574,104367,5075,177117448.00,73128,70.07,17.85,-10.15
30-October-2025,1705.85,1712.00,1679.95,1703.60,1693.732908495693354098,62926,9550,106579837.00,31272,49.70,32.05,-2.25
29-October-2025,1690.40,1721.95,1686.75,1716.40,1709.798363506996600521,50596,8708,86508958.00,31726,62.70,35.20,26.00
28-October-2025,1690.20,1702.10,1678.80,1687.15,1686.908741277225629097,75664,8222,127638263.00,58918,77.87,23.30,-3.05
27-October-2025,1699.60,1707.00,1690.00,1694.10,1695.123796985410677342,186095,8412,315454063.00,158009,84.91,17.00,-5.50
24-October-2025,1688.15,1701.90,1686.25,1699.60,1695.380298871607197316,16395,4051,27795760.00,5339,32.56,15.65,11.45
23-October-2025,1709.70,1712.00,1682.70,1689.00,1692.498600539304365634,117188,14890,198340526.00,70347,60.03,29.30,-20.70
21-October-2025,1688.55,1697.25,1685.00,1690.30,1691.607494065785011868,5898,1928,9977101.00,2505,42.47,12.25,1.75
20-October-2025,1681.20,1696.40,1681.20,1688.55,1691.211853436145663308,35534,5408,60095522.00,16662,46.89,15.20,7.35
17-October-2025,1659.70,1691.65,1656.10,1679.10,1678.125052331260756981,64493,9235,108227319.00,35167,54.53,35.55,19.40
16-October-2025,1662.20,1662.20,1643.10,1659.70,1651.895710462407691926,80708,8811,133321199.00,53502,66.29,19.10,-2.50
15-October-2025,1648.40,1668.20,1648.40,1654.05,1660.582267426927621102,19467,6336,32326555.00,7340,37.70,19.80,5.65
14-October-2025,1668.40,1668.40,1647.00,1654.05,1656.285497183283112799,38165,8396,63212136.00,17287,45.30,21.40,-14.35
13-October-2025,1660.40,1672.50,1656.00,1668.50,1666.323559659025984413,87514,4484,145826640.00,72043,82.32,16.50,8.10
10-October-2025,1657.40,1676.00,1650.00,1670.85,1667.842520600744284954,60192,3866,100390777.00,41047,68.19,26.00,13.45
9-October-2025,1636.00,1662.00,1633.00,1658.35,1649.742074029191096537,56113,5580,92571977.00,28565,50.91,29.00,22.35
8-October-2025,1645.00,1654.30,1628.75,1631.65,1637.828982898289828982,49995,3039,81883260.00,30781,61.57,25.55,-13.35
7-October-2025,1653.85,1662.40,1647.75,1654.30,1656.099148965612675569,72265,2241,119678005.00,57792,79.97,14.65,0.45
6-October-2025,1621.95,1659.00,1620.10,1653.95,1646.180106167846309403,31648,2872,52098308.00,18058,57.06,38.90,32.00
3-October-2025,1605.95,1645.25,1603.80,1634.05,1628.333812380512888127,75845,4481,123500978.00,51051,67.31,41.45,28.10
1-October-2025,1606.35,1651.95,1606.35,1636.15,1633.636130432637758374,182439,9338,298038942.00,52200,28.61,45.60,29.80
30-September-2025,1581.05,1603.90,1581.05,1594.95,1596.952033295759993063,115330,3931,184176478.00,90434,78.41,22.85,13.90
29-September-2025,1556.25,1618.60,1556.25,1590.80,1598.655077392120075046,85280,5158,136333305.00,37602,44.09,62.35,34.55
26-September-2025,1590.60,1602.90,1547.25,1586.55,1578.294118784915120471,258484,16860,407963777.00,101410,39.23,55.65,-4.05
25-September-2025,1623.35,1642.40,1622.75,1628.00,1631.864172603512731889,226832,17221,370159014.00,138360,61.00,19.65,4.65
24-September-2025,1630.00,1635.60,1624.80,1626.90,1632.160389675605101938,79656,11119,130011368.00,51090,64.14,10.80,-3.10
23-September-2025,1636.05,1644.00,1624.75,1631.15,1636.557250299320416181,118602,7902,194098963.00,93947,79.21,19.25,-4.90
22-September-2025,1646.05,1656.80,1635.55,1644.00,1644.816833483547586294,63243,7478,104023151.00,28911,45.71,21.25,-2.05
19-September-2025,1651.40,1668.40,1642.20,1656.05,1659.345438920225272975,229233,13584,380376733.00,188255,82.12,26.20,4.65
18-September-2025,1626.00,1650.95,1626.00,1648.90,1641.433862033047677666,105605,12965,173343623.00,38164,36.14,24.95,22.90
17-September-2025,1615.95,1622.00,1607.20,1620.25,1612.113257687417230197,227287,6765,366412386.00,185462,81.60,14.80,4.30
16-September-2025,1602.45,1613.95,1600.10,1610.85,1606.988620493456783737,38666,2478,62135822.00,20814,53.83,13.85,8.40
15-September-2025,1619.45,1619.45,1595.20,1602.40,1608.743709201585881913,74911,2504,120512600.00,60618,80.92,24.25,-17.05
12-September-2025,1606.85,1621.00,1603.75,1616.25,1615.887348406208066435,197485,5052,319113513.00,171009,86.59,17.25,9.40
11-September-2025,1582.50,1617.00,1582.50,1609.60,1606.774991954594657850,102543,6498,164763528.00,31149,30.38,34.50,27.10
10-September-2025,1580.05,1601.00,1580.05,1593.65,1590.667803383919822857,129613,5800,206171226.00,48018,37.05,20.95,13.60
9-September-2025,1579.00,1597.00,1578.15,1595.10,1583.973101880095391270,162279,3536,257045571.00,133483,82.26,18.85,16.10
8-September-2025,1595.15,1604.00,1577.90,1580.40,1592.228301063414410069,43539,4562,69324028.00,18404,42.27,26.10,-14.75
5-September-2025,1582.25,1599.00,1576.10,1594.70,1590.572461635960345842,88364,4050,140549345.00,62589,70.83,22.90,12.45
4-September-2025,1591.30,1599.00,1561.50,1582.35,1571.203567957085120844,136829,6263,214986213.00,106486,77.82,37.50,-8.95
3-September-2025,1569.60,1580.80,1558.70,1579.60,1571.878502691932680486,23589,1968,37079042.00,10296,43.65,22.10,10.00
2-September-2025,1571.95,1571.95,1558.15,1564.55,1563.527870103442428353,117940,5715,184402477.00,94153,79.83,13.80,-7.40
1-September-2025,1600.00,1600.35,1556.25,1563.35,1576.582145482581177272,111546,4308,175861432.00,75993,68.13,44.10,-36.65
29-August-2025,1576.00,1601.40,1576.00,1594.05,1591.249010131829686072,371009,13717,590367704.00,319663,86.16,25.40,18.05
28-August-2025,1597.95,1597.95,1567.60,1586.25,1580.092025972812631382,64221,5952,101475090.00,34384,53.54,30.35,-11.70
26-August-2025,1640.65,1648.35,1596.35,1600.45,1610.587135944566131705,120071,9219,193384808.00,46721,38.91,52.00,-40.20
25-August-2025,1643.50,1659.80,1634.00,1656.70,1647.035269367213926243,145452,6871,239564574.00,116586,80.15,25.80,13.20
22-August-2025,1640.55,1651.50,1636.00,1642.90,1644.552987538609010544,84501,5216,138966372.00,69817,82.62,15.50,2.35
21-August-2025,1632.00,1652.00,1626.85,1639.70,1640.680217555282067569,25189,2387,41327094.00,11669,46.33,25.15,7.70
20-August-2025,1626.55,1636.55,1616.60,1634.60,1632.705318411139970355,73537,3144,120064251.00,64441,87.63,19.95,8.05
19-August-2025,1640.55,1640.55,1619.10,1626.25,1625.572897481084948786,75469,5211,122680361.00,65282,86.50,21.45,-14.30
18-August-2025,1643.20,1649.95,1626.00,1632.40,1633.362110457854814634,32827,3344,53618378.00,16726,50.95,23.95,-10.80
14-August-2025,1632.35,1650.70,1632.30,1642.60,1642.022664181472081218,50432,2322,82810487.00,38806,76.95,18.40,10.25
13-August-2025,1637.60,1642.40,1619.60,1639.55,1634.381636987420356150,12242,1262,20008100.00,4941,40.36,22.80,1.95
12-August-2025,1606.45,1636.00,1606.45,1622.00,1629.213476422764227642,76875,3510,125245786.00,61173,79.57,29.55,15.55
11-August-2025,1586.70,1652.30,1584.50,1612.60,1603.454802649737786364,14492,1242,23237267.00,7186,49.59,67.80,25.90
8-August-2025,1581.25,1600.45,1581.25,1586.70,1589.049414141414141414,24750,2253,39328973.00,9960,40.24,19.20,5.45
7-August-2025,1581.00,1604.65,1571.15,1598.65,1582.315410647957078002,121150,5502,191697512.00,81600,67.35,33.50,17.65
6-August-2025,1625.20,1626.00,1591.00,1594.10,1609.058067171550872571,60740,5676,97734187.00,33235,54.72,35.00,-31.10
5-August-2025,1640.00,1643.65,1621.00,1632.15,1629.307235553379040156,16336,1375,26616363.00,5575,34.13,22.65,-7.85
4-August-2025,1634.65,1647.00,1614.25,1641.00,1630.678359896618565582,37144,2396,60569917.00,18421,49.59,32.75,6.35
1-August-2025,1690.10,1690.40,1608.30,1629.05,1635.188940246116987894,419069,23434,685256994.00,283311,67.60,82.10,-61.05
31-July-2025,1711.20,1747.70,1692.50,1705.55,1723.350392188250360172,124940,9485,215315398.00,50187,40.17,55.20,-5.65
30-July-2025,1720.00,1739.90,1712.50,1734.95,1730.125474511930585683,73760,4929,127614055.00,45802,62.10,27.40,14.95
29-July-2025,1696.50,1718.75,1696.50,1710.75,1710.930081144359985887,124716,6668,213380356.00,42538,34.11,22.25,14.25
28-July-2025,1709.80,1709.80,1693.80,1702.95,1702.877292463223381504,92586,6606,157662597.00,41880,45.23,16.00,-6.85
25-July-2025,1692.10,1701.50,1682.30,1698.60,1698.109800732004880032,95901,4857,162850428.00,59587,62.13,19.20,6.50
24-July-2025,1682.80,1695.00,1680.00,1692.10,1688.317058453959031842,160759,2194,271412162.00,137487,85.52,15.00,9.30
23-July-2025,1687.30,1688.95,1671.00,1682.60,1681.700541484353076899,96217,4653,161808181.00,82861,86.12,17.95,-4.70
22-July-2025,1687.00,1691.20,1672.95,1678.05,1678.711788856304985337,17050,1205,28622036.00,8076,47.37,18.25,-8.95
21-July-2025,1693.45,1700.00,1678.00,1691.60,1692.703761938038667598,17172,1261,29067109.00,7748,45.12,22.00,-1.85
18-July-2025,1711.75,1711.75,1687.55,1693.25,1698.683742636099084392,56356,2135,95731021.00,45686,81.07,24.20,-18.50
17-July-2025,1701.10,1717.15,1699.15,1703.25,1711.718381606346911731,58107,2521,99462820.00,44163,76.00,18.00,2.15
16-July-2025,1730.00,1732.80,1698.00,1700.85,1713.070753512132822477,46980,3930,80480064.00,21657,46.10,34.80,-29.15
15-July-2025,1700.00,1730.95,1688.85,1727.70,1709.502753300324578741,151273,6234,258601610.00,88858,58.74,42.10,27.70
14-July-2025,1682.00,1696.00,1676.80,1682.05,1686.781325631675755913,61978,3789,104543333.00,32209,51.97,19.20,0.05
11-July-2025,1663.75,1679.60,1662.00,1672.50,1672.864946021305497962,41961,2364,70195086.00,23744,56.59,17.60,8.75
10-July-2025,1667.15,1669.95,1646.95,1663.15,1662.377629986055135847,65257,3248,108481777.00,47635,73.00,23.00,-4.00
9-July-2025,1662.20,1681.10,1649.00,1667.15,1670.631896788361240735,29144,2071,48688896.00,13873,47.60,32.10,4.95
8-July-2025,1679.90,1681.00,1650.00,1672.85,1664.156761349842194707,82380,2889,137093234.00,53662,65.14,31.00,-7.05
7-July-2025,1671.45,1681.90,1662.85,1679.80,1672.495347530131767938,16013,1671,26781668.00,7004,43.74,19.05,8.35
4-July-2025,1686.00,1686.00,1672.10,1676.65,1678.009280980838712991,116798,6858,195988128.00,9498,8.13,13.90,-9.35
